"Country","Year","Emissions.per.Capita","Gini.Disposoble.Income","Top.Percentile.Income.Share","GDP.per.Capita","Democracy.Index.total.core","Carbon.Footprint","Economies.by.per.capita.GNI.in.2012","Urban Population Percent"
"Afghanistan",1970,1.3874969902663,NA,NA,NA,NA,NA,NA,11.643
"Afghanistan",1971,1.3456250160117,NA,NA,NA,NA,NA,NA,12.021
"Afghanistan",1972,1.1360469017661,NA,NA,NA,NA,NA,NA,12.41
"Afghanistan",1973,1.1585556040094,NA,NA,NA,NA,NA,NA,12.809
"Afghanistan",1974,1.2318193739248,NA,NA,NA,0.0538418040448451,NA,NA,13.219
"Afghanistan",1975,1.2583543151794,NA,NA,NA,0.0541587473304311,NA,NA,13.641
"Afghanistan",1976,1.2416629786035,NA,NA,NA,0.0541587473304311,NA,NA,14.074
"Afghanistan",1977,1.2311624531918,NA,NA,NA,0.0528938259707184,NA,NA,14.517
"Afghanistan",1978,1.1814950861867,NA,NA,NA,0.0657721182687772,NA,NA,14.973
"Afghanistan",1979,1.1622332960939,NA,NA,NA,0.063960446962955,NA,NA,15.442
"Afghanistan",1980,1.1599639442142,NA,0.4095,NA,0.0627955993853464,15.71045508,NA,15.995
"Afghanistan",1981,1.1885057006037,NA,0.4095,NA,0.0645287937009938,15.50296582,NA,16.562
"Afghanistan",1982,1.2169570974702,NA,0.4095,NA,0.0647940462291086,15.66092871,NA,17.147
"Afghanistan",1983,1.2473218944344,NA,0.4095,NA,0.0650239883093407,15.5090957,NA,17.747
"Afghanistan",1984,1.1939753273458,NA,0.4095,NA,0.0649745802638118,15.05228027,NA,18.365
"Afghanistan",1985,1.214088151839,NA,0.4095,NA,0.0650150410228999,14.91564355,NA,18.997
"Afghanistan",1986,1.0861265072554,NA,0.4095,NA,0.0650150410228999,13.1583494,NA,19.647
"Afghanistan",1987,1.0870103594238,NA,0.4095,NA,0.0650469798904744,13.23261483,NA,20.314
"Afghanistan",1988,1.1051182867734,NA,0.4095,NA,NA,13.11733632,NA,20.998
"Afghanistan",1989,1.0490647645539,NA,0.4095,NA,NA,12.45771504,NA,21.088
"Afghanistan",1990,1.0255121179701,NA,0.4095,NA,NA,12.25532811,NA,21.177
"Afghanistan",1991,0.97150170341881,NA,0.4095,NA,NA,12.55955485,NA,21.266
"Afghanistan",1992,0.83284938166515,NA,0.4095,NA,NA,11.76590075,NA,21.355
"Afghanistan",1993,0.77811814187142,NA,0.4095,NA,0.0265270335437089,11.80392003,NA,21.444
"Afghanistan",1994,0.72768872714637,NA,0.4095,NA,0.0265270335437089,11.68838932,NA,21.534
"Afghanistan",1995,0.70110188032148,NA,0.4095,NA,0.026867902885435,12.43637699,NA,21.624
"Afghanistan",1996,0.74201458766637,NA,0.4095,NA,0.018647460159231,13.36131806,NA,21.714
"Afghanistan",1997,0.77511194201508,NA,0.4095,NA,0.0167840827092874,13.79337344,NA,21.805
"Afghanistan",1998,0.79910187444819,NA,0.4095,NA,0.0166228411705926,14.52739913,NA,21.895
"Afghanistan",1999,0.82706698517764,NA,0.4095,NA,0.0166228411705926,15.27342617,NA,21.986
"Afghanistan",2000,0.69253560289483,NA,0.4095,308.3182697,0.0168095158186289,13.86880088,NA,22.078
"Afghanistan",2001,0.58218853214446,NA,0.4095,277.1180514,0.030255790855677,13.09984389,NA,22.169
"Afghanistan",2002,0.67138557798624,NA,0.4095,338.1399736,0.0852319454761658,15.43288856,NA,22.261
"Afghanistan",2003,0.66495559657951,NA,0.4095,346.0716271,0.0857951138641087,16.81621784,NA,22.353
"Afghanistan",2004,0.6342495485622,NA,0.4095,338.6372739,0.287299796135466,16.65754535,NA,22.5
"Afghanistan",2005,0.62109640973853,NA,0.4095,363.6401414,0.488176232196133,17.49968156,NA,22.703
"Afghanistan",2006,0.60885691599124,NA,0.4095,367.7583117,0.494908187681981,18.1788521,NA,22.907
"Afghanistan",2007,0.6333235519694,31.6,0.4095,410.7577289,0.495610556632407,19.17360549,NA,23.113
"Afghanistan",2008,0.73705197193063,31.6,0.4095,417.6472826,0.501571063787333,21.51311539,NA,23.32
"Afghanistan",2009,0.82356098389612,31.6,0.3982,488.8306525,0.492753598972369,24.56736514,NA,23.528
"Afghanistan",2010,0.93520883428913,31.7,0.3948,542.8710305,0.496941837855445,28.73449305,NA,23.737
"Afghanistan",2011,1.0440294841533,31.7,0.3846,525.4269828,0.497767848431352,33.5431822,NA,23.948
"Afghanistan",2012,0.94123811587064,31.8,0.378,568.9290215,0.497529686406749,32.1783549,NA,24.16
"Afghanistan",2013,0.85890123942092,31.8,0.3826,580.6038333,0.488071935506046,31.39523514,NA,24.373
"Afghanistan",2014,0.8370514775127,31.8,0.3861,575.1462458,0.486199225795367,32.93753594,NA,24.587
"Afghanistan",2015,0.81242368868932,31.8,0.3885,565.5697304,0.490251605871746,32.53826004,NA,24.803
